07-30 21:02:19 | INFO   | __main__                                 || Got retcode 
07-30 21:02:20 | INFO   | __main__                                 || 0.9721, 79.278687
07-30 21:02:34 | INFO   | __main__                                 || Got retcode 
07-30 21:02:36 | INFO   | __main__                                 || 0.97425, 89.315399
07-30 21:02:36 | INFO   | __main__                                 || Got retcode 
07-30 21:02:37 | INFO   | __main__                                 || 0.97425, 90.150299
07-30 21:02:37 | INFO   | __main__                                 || Got retcode 
07-30 21:02:38 | INFO   | __main__                                 || 0.97425, 90.337219
07-30 21:02:38 | INFO   | __main__                                 || Got retcode 
07-30 21:02:39 | INFO   | __main__                                 || 0.97425, 89.875641
07-30 21:02:39 | INFO   | __main__                                 || Got retcode 
07-30 21:02:41 | INFO   | __main__                                 || 0.9761, 90.517242
07-30 21:02:41 | INFO   | __main__                                 || Got retcode 
07-30 21:02:42 | INFO   | __main__                                 || 0.9761, 90.617706
07-30 21:02:42 | INFO   | __main__                                 || Got retcode 
07-30 21:02:43 | INFO   | __main__                                 || 0.9761, 90.380356
07-30 21:02:43 | INFO   | __main__                                 || Got retcode 
07-30 21:02:44 | INFO   | __main__                                 || 0.9761, 90.160583
07-30 21:02:44 | INFO   | __main__                                 || Got retcode 
07-30 21:02:45 | INFO   | __main__                                 || 0.9761, 89.820587
07-30 21:02:45 | INFO   | __main__                                 || Got retcode 
07-30 21:02:47 | INFO   | __main__                                 || 0.9761, 89.834763
07-30 21:03:01 | INFO   | __main__                                 || Got retcode 
07-30 21:03:02 | INFO   | __main__                                 || 1.0023, 89.779144
07-30 21:03:02 | INFO   | __main__                                 || Got retcode 
07-30 21:03:03 | INFO   | __main__                                 || 1.0023, 90.469803
07-30 21:03:03 | INFO   | __main__                                 || Got retcode 
07-30 21:03:04 | INFO   | __main__                                 || 1.0023, 90.162872
07-30 21:03:04 | INFO   | __main__                                 || Got retcode 
07-30 21:03:06 | INFO   | __main__                                 || 1.0023, 90.476898
07-30 21:03:06 | INFO   | __main__                                 || Got retcode 
07-30 21:03:07 | INFO   | __main__                                 || 1.0023, 90.448776
07-30 21:03:07 | INFO   | __main__                                 || Got retcode 
07-30 21:03:08 | INFO   | __main__                                 || 1.0023, 89.89859
07-30 21:03:08 | INFO   | __main__                                 || Got retcode 
07-30 21:03:09 | INFO   | __main__                                 || 1.0023, 90.681946
07-30 21:03:09 | INFO   | __main__                                 || Got retcode 
07-30 21:03:10 | INFO   | __main__                                 || 1.0023, 90.642426
07-30 21:03:10 | INFO   | __main__                                 || Got retcode 
07-30 21:03:12 | INFO   | __main__                                 || 1.0022, 90.716904
07-30 21:03:12 | INFO   | __main__                                 || Got retcode 
07-30 21:03:13 | INFO   | __main__                                 || 1.0022, 90.88353
07-30 21:03:25 | INFO   | __main__                                 || Got retcode 
07-30 21:03:26 | INFO   | __main__                                 || 1.00215, 77.121994
07-30 21:03:26 | INFO   | __main__                                 || Got retcode 
07-30 21:03:28 | INFO   | __main__                                 || 1.00215, 77.897644
07-30 21:03:28 | INFO   | __main__                                 || Got retcode 
07-30 21:03:29 | INFO   | __main__                                 || 1.00215, 78.037933
07-30 21:03:29 | INFO   | __main__                                 || Got retcode 
07-30 21:03:30 | INFO   | __main__                                 || 1.00215, 77.14389
07-30 21:03:30 | INFO   | __main__                                 || Got retcode 
07-30 21:03:32 | INFO   | __main__                                 || 1.00215, 79.153809
07-30 21:03:32 | INFO   | __main__                                 || Got retcode 
07-30 21:03:33 | INFO   | __main__                                 || 0.9993000000000001, 77.743698
07-30 21:03:33 | INFO   | __main__                                 || Got retcode 
07-30 21:03:34 | INFO   | __main__                                 || 0.9993000000000001, 78.860123
07-30 21:03:34 | INFO   | __main__                                 || Got retcode 
07-30 21:03:35 | INFO   | __main__                                 || 0.9993000000000001, 77.004593
07-30 21:03:35 | INFO   | __main__                                 || Got retcode 
07-30 21:03:37 | INFO   | __main__                                 || 0.9993000000000001, 76.089188
07-30 21:03:37 | INFO   | __main__                                 || Got retcode 
07-30 21:03:38 | INFO   | __main__                                 || 0.9993000000000001, 76.089188
07-30 21:03:52 | INFO   | __main__                                 || Got retcode 
07-30 21:03:54 | INFO   | __main__                                 || 0.9954999999999999, 78.686798
07-30 21:03:54 | INFO   | __main__                                 || Got retcode 
07-30 21:03:55 | INFO   | __main__                                 || 0.99275, 77.823837
07-30 21:03:55 | INFO   | __main__                                 || Got retcode 
07-30 21:03:56 | INFO   | __main__                                 || 0.99275, 76.443085
07-30 21:03:56 | INFO   | __main__                                 || Got retcode 
07-30 21:03:57 | INFO   | __main__                                 || 0.99275, 78.564011
07-30 21:03:57 | INFO   | __main__                                 || Got retcode 
07-30 21:03:59 | INFO   | __main__                                 || 0.99275, 77.543121
07-30 21:03:59 | INFO   | __main__                                 || Got retcode 
07-30 21:04:00 | INFO   | __main__                                 || 0.99275, 81.669693
07-30 21:04:00 | INFO   | __main__                                 || Got retcode 
07-30 21:04:01 | INFO   | __main__                                 || 0.99275, 77.210434
07-30 21:04:01 | INFO   | __main__                                 || Got retcode 
07-30 21:04:03 | INFO   | __main__                                 || 0.99275, 79.382477
07-30 21:04:03 | INFO   | __main__                                 || Got retcode 
07-30 21:04:04 | INFO   | __main__                                 || 0.99275, 78.83725
07-30 21:04:04 | INFO   | __main__                                 || Got retcode 
07-30 21:04:05 | INFO   | __main__                                 || 0.9919499999999999, 77.228653
07-30 21:04:18 | INFO   | __main__                                 || Got retcode 
