,itr,dvfs,rate,watts_avg,watts_std,SinknumRecordsInPerSecond_avg,SinknumRecordsInPerSecond_std,SinknumRecordsOutPerSecond_avg,SinknumRecordsOutPerSecond_std,SinkbusyTimeMsPerSecond_avg,SinkbusyTimeMsPerSecond_std,SinkbackPressuredTimeMsPerSecond_avg,SinkbackPressuredTimeMsPerSecond_std,SinkbusyTime_%,SinkbackPressuredTime_%,SourcenumRecordsInPerSecond_avg,SourcenumRecordsInPerSecond_std,SourcenumRecordsOutPerSecond_avg,SourcenumRecordsOutPerSecond_std,SourcebusyTimeMsPerSecond_avg,SourcebusyTimeMsPerSecond_std,SourcebackPressuredTimeMsPerSecond_avg,SourcebackPressuredTimeMsPerSecond_std,SourcebusyTime_%,SourcebackPressuredTime_%,MappernumRecordsInPerSecond_avg,MappernumRecordsInPerSecond_std,MappernumRecordsOutPerSecond_avg,MappernumRecordsOutPerSecond_std,MapperbusyTimeMsPerSecond_avg,MapperbusyTimeMsPerSecond_std,MapperbackPressuredTimeMsPerSecond_avg,MapperbackPressuredTimeMsPerSecond_std,MapperbusyTime_%,MapperbackPressuredTime_%
52,500.0,1.9,200000.0,68.23,1.04,1399771.6,426.93008,0.0,0.0,541.0,7.936479,0.0,0.0,54.1,0.0,0.0,0.0,199995.88,30.556902,0.0,0.0,67.685715,6.7989063,0.0,6.7685714,174984.77,142.62714,174984.77,142.5399,549.3,13.415346,6.58125,4.493078,54.93,0.658125
53,500.0,2.0,200000.0,70.87,0.92,1399956.5,336.6665,0.0,0.0,531.2,9.414558,0.0,0.0,53.12,0.0,0.0,0.0,200000.4,15.142912,0.0,0.0,108.669044,6.8994265,0.0,10.866905,174994.89,181.96645,174994.89,181.92361,576.8771,18.45903,0.65208334,1.0181148,57.68771,0.06520833
54,500.0,2.1,200000.0,64.77,0.99,1399997.4,19.41074,0.0,0.0,240.41667,20.438267,0.0,0.0,24.041666,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,31.97619,7.289144,0.0,3.197619,175000.05,0.9594812,175000.05,0.9594812,489.7625,11.385054,0.016666668,0.07605685,48.97625,0.0016666667
55,500.0,2.2,200000.0,73.94,1.13,1400000.0,0.0,0.0,0.0,218.96666,13.289545,0.0,0.0,21.896667,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,1.0928571,1.5430527,0.0,0.10928571,175000.0,0.0,175000.0,0.0,486.55,9.053489,0.0,0.0,48.655,0.0
56,500.0,2.3,200000.0,67.04,1.04,1400000.1,68.63929,0.0,0.0,279.28333,28.65728,0.0,0.0,27.928333,0.0,0.0,0.0,199999.58,2.3109195,0.0,0.0,0.33809525,0.87252486,0.0,0.033809524,174999.6,3.0831063,174999.6,3.0831146,435.52917,6.6656923,0.9770833,2.3535829,43.552917,0.09770834
57,500.0,2.4,200000.0,72.37,1.26,1399943.9,63.216805,0.0,0.0,555.01666,11.003418,0.0,0.0,55.501667,0.0,0.0,0.0,199982.64,9.558879,0.0,0.0,27.514286,7.519342,0.0,2.7514286,174984.2,6.570886,174984.19,6.5638375,413.19376,6.6471906,88.2625,13.043997,41.319374,8.82625
58,500.0,2.5,200000.0,73.24,1.19,1400127.5,278.6636,0.0,0.0,550.0,9.989721,0.0,0.0,55.0,0.0,0.0,0.0,199997.78,42.542583,0.0,0.0,30.735714,7.2149496,0.0,3.0735714,174979.5,29.37518,174979.5,29.371336,395.27707,6.0367775,95.464584,10.875415,39.52771,9.546458
59,500.0,2.6,200000.0,75.94,1.28,1400000.0,0.0,0.0,0.0,565.3,12.194089,0.0,0.0,56.53,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,22.845238,8.077944,0.0,2.2845237,175000.0,0.0,175000.0,0.0,382.8125,8.006089,125.10208,16.43907,38.28125,12.510208
60,700.0,1.2,200000.0,64.52,0.3,1399997.0,315.31424,0.0,0.0,697.2833,9.106426,0.0,0.0,69.72833,0.0,0.0,0.0,199983.97,97.54915,0.0,0.0,388.91666,9.141146,0.0,38.891666,175002.66,230.399,175002.66,230.39291,897.23334,18.465445,0.0,0.0,89.723335,0.0
61,700.0,1.3,200000.0,65.99,0.27,1400101.8,379.6798,0.0,0.0,551.06665,9.224233,0.0,0.0,55.106667,0.0,0.0,0.0,200011.14,75.51997,0.0,0.0,369.41904,10.775444,0.0,36.941906,175014.92,306.01028,175014.92,306.02094,876.0062,23.575623,0.0,0.0,87.600624,0.0
62,700.0,1.4,200000.0,60.88,0.86,1399910.1,340.84482,0.0,0.0,532.8333,9.174997,0.0,0.0,53.283333,0.0,0.0,0.0,200001.97,86.54296,0.0,0.0,226.27856,8.482086,0.0,22.627857,174992.72,249.3429,174992.7,249.34248,711.2146,20.436302,0.0,0.0,71.12146,0.0
63,700.0,1.5,200000.0,64.21,0.87,1399852.0,362.7216,0.0,0.0,555.0333,9.352549,0.0,0.0,55.503334,0.0,0.0,0.0,199988.84,55.475727,0.0,0.0,208.81429,8.895488,0.0,20.881428,174987.7,266.2481,174987.72,266.24704,724.1521,20.544546,0.072916664,0.33767092,72.41521,0.0072916667
64,700.0,1.6,200000.0,63.35,0.84,1399889.5,153.57542,0.0,0.0,251.71666,11.979286,0.0,0.0,25.171667,0.0,0.0,0.0,199980.39,46.84932,0.0,0.0,147.46428,7.673537,0.0,14.7464285,175015.95,99.62967,175015.95,99.61827,646.4083,19.415583,0.0,0.0,64.64083,0.0
65,700.0,1.7,200000.0,65.3,1.8,1399799.8,589.45795,0.0,0.0,522.38336,9.650593,0.0,0.0,52.238335,0.0,0.0,0.0,199972.3,126.34941,0.0,0.0,143.71428,18.17109,0.0,14.3714285,174982.73,140.9508,174982.75,140.96062,633.4521,24.253544,0.20625,0.5537715,63.345207,0.020625
66,700.0,1.8,200000.0,63.49,0.84,1400039.9,732.05865,0.0,0.0,538.95,9.949931,0.0,0.0,53.895,0.0,0.0,0.0,199969.77,154.8685,0.0,0.0,78.19524,8.784378,0.0,7.819524,174989.17,180.19704,174989.19,180.18886,559.30414,14.14811,4.460417,3.0261736,55.930416,0.44604167
67,700.0,1.9,200000.0,65.89,1.1,1399888.0,492.33102,0.0,0.0,528.18335,8.786624,0.0,0.0,52.818333,0.0,0.0,0.0,199990.66,110.87339,0.0,0.0,78.192856,6.914514,0.0,7.819286,174987.33,209.08452,174987.33,209.07886,554.4979,14.438516,4.8791666,3.2750964,55.44979,0.48791668
68,700.0,2.0,200000.0,65.75,0.97,1399992.0,19.165386,0.0,0.0,235.0,15.295812,0.0,0.0,23.5,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,41.990475,9.215682,0.0,4.1990476,175000.0,0.0,175000.0,0.0,515.9083,13.535754,0.008333334,0.044876374,51.59083,0.00083333335
69,700.0,2.1,200000.0,72.73,0.99,1399999.6,62.660034,0.0,0.0,574.5,7.9731016,0.0,0.0,57.45,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,62.409523,8.5848675,0.0,6.2409525,175001.05,5.5466948,175001.05,5.5428996,556.98334,10.441955,9.183333,4.650001,55.698334,0.91833335
70,700.0,2.2,200000.0,73.05,1.04,1400000.1,1.5546267,0.0,0.0,550.43335,10.088586,0.0,0.0,55.043335,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,26.964285,6.9255433,0.0,2.6964285,175000.0,0.0,175000.0,0.0,469.14166,13.580838,44.727085,10.955974,46.914165,4.472708
